Year,Month,Day,Wholesaler (3MPa Area),Household use (3MPa Area),Business use (3MPa Area),Industrial use (3MPa Area),Power Gen use (3MPa Area),Wholesaler (7MPa Area),Household use (7MPa Area),Business use (7MPa Area),Industrial use (7MPa Area),Power Gen use (7MPa Area),3M Power Plant1,3M Power Plant2,7M Power Plant1
2022,2,14,2028.164588,3380.274313,2704.219451,6760.548627,3631.212693,2390.336836,3983.894726,3187.115781,7967.789453,4279.643532,3159.882353,789.970588,3724.147059
2022,2,15,2018.801584,3364.669306,2691.735445,6729.338612,3534.215709,2379.301866,3965.503111,3172.402489,7931.006222,4165.325657,3171.741176,792.935294,3738.123529
2022,2,16,1943.121545,3238.535908,2590.828727,6477.071816,3224.415775,2290.107535,3816.845892,3053.476713,7633.691784,3800.204306,3172.317647,793.079412,3738.802941
2022,2,17,1974.691541,3291.152569,2632.922055,6582.305137,3434.338534,2327.315031,3878.858384,3103.086707,7757.716769,4047.613273,3384.005882,846.001471,3988.292647
2022,2,18,1879.094967,3131.824945,2505.459956,6263.64989,3246.357127,2214.64764,3691.0794,2952.86352,7382.158799,3826.063757,3392.694118,848.173529,3998.532353
2022,2,19,1584.320371,2640.533951,2112.427161,5281.067902,2876.103075,1867.234722,3112.057871,2489.646297,6224.115742,3389.692909,3399.982353,849.995588,4007.122059
2022,2,20,1468.76508,2447.9418,1958.35344,4895.8836,1983.928211,1731.044559,2885.074264,2308.059411,5770.148529,2338.201106,3157.535294,789.383824,3721.380882
2022,2,21,1998.519796,3330.866327,2664.693061,6661.732653,3029.309474,2355.398331,3925.663885,3140.531108,7851.32777,3570.257594,3300.870588,825.217647,3890.311765
2022,2,22,1912.600147,3187.666912,2550.13353,6375.333824,3420.744275,2254.135888,3756.893146,3005.514517,7513.786293,4031.591468,3647.288235,911.822059,4298.589706
2022,2,23,1698.068605,2830.114341,2264.091473,5660.228682,2704.401817,2001.295141,3335.491902,2668.393522,6670.983804,3187.330713,3377.088235,844.272059,3980.139706
2022,2,24,1979.673201,3299.455335,2639.564268,6598.910671,3312.612917,2333.186273,3888.643788,3110.915031,7777.287577,3904.150938,3422.711765,855.677941,4033.910294
2022,2,25,1886.083001,3143.471669,2514.777335,6286.943338,2908.272197,2222.883537,3704.805896,2963.844717,7409.611791,3427.606518,3409.411765,852.352941,4018.235294
2022,2,26,1509.435466,2515.725776,2012.580621,5031.451553,1664.885272,1778.977513,2964.962522,2371.970018,5929.925044,1962.186214,2952.394118,738.098529,3479.607353
2022,2,27,1399.341339,2332.235565,1865.788452,4664.47113,962.858595,1649.223721,2748.706202,2198.964961,5497.412404,1134.79763,2886.429412,721.607353,3401.863235
2022,2,28,1817.879978,3029.799963,2423.83997,6059.599926,1440.853934,2142.501402,3570.835671,2856.668536,7141.671341,1698.149279,3123.647059,780.911765,3681.441176
2022,3,1,1773.168287,2955.280478,2364.224382,5910.560956,1909.428191,2089.805481,3483.009135,2786.407308,6966.01827,2250.397511,3030.258824,757.564706,3571.376471
2022,3,2,1702.38547,2837.309117,2269.847294,5674.618234,1784.456278,2006.382876,3343.97146,2675.177168,6687.942919,2103.109184,2992.129412,748.032353,3526.438235
2022,3,3,1735.635778,2892.726297,2314.181038,5785.452594,1715.001014,2045.570739,3409.284564,2727.427652,6818.569129,2021.251195,2999.994118,749.998529,3535.707353
2022,3,4,1737.28874,2895.481233,2316.384987,5790.962467,2246.262901,2047.518872,3412.531454,2730.025163,6825.062907,2647.381276,3229.841176,807.460294,3806.598529
2022,3,5,1313.909414,2189.849024,1751.879219,4379.698047,1299.765936,1548.536095,2580.893492,2064.714794,5161.786984,1531.866996,2291.758824,572.939706,2701.001471
2022,3,6,1361.96011,2269.933516,1815.946813,4539.867033,1151.977773,1605.167272,2675.278787,2140.22303,5350.557575,1357.68809,2061.994118,515.498529,2430.207353
2022,3,7,1735.194534,2891.990891,2313.592712,5783.981781,2523.305655,2045.050701,3408.417835,2726.734268,6816.835671,2973.895951,2828.905882,707.226471,3334.067647
2022,3,8,1833.355643,3055.592738,2444.47419,6111.185475,2976.198512,2160.740579,3601.234298,2880.987438,7202.468596,3507.662532,3103.182353,775.795588,3657.322059
2022,3,9,1743.852373,2906.420621,2325.136497,5812.841243,2550.837791,2055.254582,3425.424304,2740.339443,6850.848608,3006.344539,2692.241176,673.060294,3172.998529
2022,3,10,1798.810159,2998.016932,2398.413546,5996.033864,2305.991072,2120.026259,3533.377099,2826.701679,7066.754197,2717.775193,2206.152941,551.538235,2600.108824
2022,3,11,1579.252991,2632.088318,2105.670654,5264.176635,1830.260583,1861.262453,3102.104088,2481.683271,6204.208177,2157.09283,2011.388235,502.847059,2370.564706
2022,3,12,1281.021116,2135.035193,1708.028154,4270.070386,620.894331,1509.774886,2516.291477,2013.033182,5032.582955,731.768319,1875.382353,468.845588,2210.272059
2022,3,13,1209.460158,2015.766931,1612.613544,4031.533861,536.559932,1425.435187,2375.725311,1900.580249,4751.450622,632.374205,1599.911765,399.977941,1885.610294
2022,3,14,1371.355793,2285.592989,1828.474391,4571.185978,1252.315439,1616.240756,2693.734594,2154.987675,5387.469188,1475.943196,2106.052941,526.513235,2482.133824
