Year,Month,Value
2022,1,51979232.76
2022,2,60093556.64
2022,3,53686288.76
2022,4,44018275.6
2022,5,55988639.2
2022,6,45465082
2022,7,60756347.6
2022,8,48845711.2
2022,9,47994746.8
2022,10,40759856.8
2022,11,40619612.8
2022,12,54705424.8
2023,1,58252225.2
2023,2,66327222
2023,3,41878642
2023,4,44260793.2
2023,5,27971164
2023,6,40796969.2
2023,7,32211244
2023,8,44210197.2
2023,9,51855232
2023,10,40944212.4
2023,11,38226437.6
2023,12,45811864.8
