Year,Month,Value
2022,4,9.445
2022,5,9.54
2022,6,9.817
2022,7,9.912
2022,8,10.158
2022,9,10.205
2022,10,10.532
2022,11,11.447
2022,12,12.269
2023,1,12.518
2023,2,12.333
2023,3,11.227
2023,4,10.553
2023,5,10.357
2023,6,10.375
2023,7,10.535
2023,8,10.548
2023,9,10.726
2023,10,10.601
2023,11,11.235
2023,12,11.607
